Site instance,Site name,Tree,Country,County,Other info,Grid reference,Map link,Longitude,Latitude,Elevation (ft),Station No.,Normal Month Values,-999 Month Values,Totals,Start Month,End Month,Active Years,% Complete,% Active Complete,Min Monthly Value,Min Month Date,Max Monthly Value,Max Month Date,Min Total,Min Total Year,Max Total,Max Total Year,Avg Total,10th pctile Total,50th pctile Total,90th pctile Total,Decades Graphic,Yearly Graphic,1800-1809,1810-1819,1820-1829,1830-1839,1840-1849,1850-1859,1860-1869,1870-1879,1880-1889,1890-1899,1900-1909,1910-1919,1920-1930,1931-1940,1941-1950,1951-1960,Sheet 1,Sheet 2,Sheet 3,Sheet 4
GREAT-AYTON-FRIENDS-SCHOOL,GREAT-AYTON-FRIENDS-SCHOOL,LEFTOVER,England,Yorkshire North Riding,"1 sheet : observer Herbert Dennis, J.T.Marsh, G.Bottrick",NZ 563106,"https://maps.nls.uk/geo/explore/#zoom=16&lat=54.488&lon=-1.132&layers=6&b=1&marker=54.488,-1.132",-1.132,54.488,280,,56,0,3,1913/01,1918/12,5,77.8,93.3,0.09,1914/04,7.72,1917/08,28.04,1918,37.53,1917,32.4,28.8,31.7,36.4,[.|..........|.*....],[###.##],-,-,-,-,-,-,-,-,-,-,-,[...###.##.],-,-,-,-,TYRain_1910-1919_21_pt1-066,-,-,-
GREAT-BARFORD-VICARAGE,GREAT-BARFORD-VICARAGE,LEFTOVER,England,Bedfordshire,1 sheet,TL 132519,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.154&lon=-0.347&layers=6&b=1&marker=52.154,-0.347",-0.347,52.154,,,24,0,2,1906/01,1907/12,2,100.0,100.0,0.73,1906/04,4.12,1906/11,22.52,1907,23.45,1906,23.0,22.6,23.0,23.4,[.|..........|*.....],[##],-,-,-,-,-,-,-,-,-,-,[......##..],-,-,-,-,-,TYRain_1900-1909_08_pt1-161,-,-,-
GREAT-BARTON-VICARAGE,GREAT-BARTON-VICARAGE,LEFTOVER,England,Suffolk,2 sheets,TL 891668,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.267&lon=0.77&layers=193&b=1&marker=52.267,0.77",0.770,52.267,,,4,0,0,1950/09,1950/12,1,100.0,33.3,0.77,1950/10,4.22,1950/11,,,,,,,,,[.|..........|....*.],[4],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[.........4],-,TYRain_1931-1940_09_pt1-105,TYRain_1941-1950_10_pt1-269,-,-
GREAT-BOOKHAM-PHOENICA-FARM,GREAT-BOOKHAM-PHOENICA-FARM,LEFTOVER,England,Surrey,1 sheet,TQ 143527,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.262&lon=-0.363&layers=193&b=1&marker=51.262,-0.363",-0.363,51.262,,[125/4],20,0,1,1958/01,1960/11,3,57.1,55.6,0.07,1959/02,5.95,1960/11,34.26,1958,34.26,1958,34.3,34.3,34.3,34.3,[.|..........|.....*],[#62],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[.......#62],TYRain_1951-1960_01_pt1-136,-,-,-
GREAT-BOOKHAM-SOLE-FARM,GREAT-BOOKHAM-SOLE-FARM,LEFTOVER,England,Surrey,1 sheet : Tannery,TQ 132546,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.279&lon=-0.378&layers=6&b=1&marker=51.279,-0.378",-0.378,51.279,,,36,0,3,1912/01,1914/12,3,100.0,100.0,0.04,1912/04,9.44,1914/12,30.15,1913,34.44,1912,32.7,30.8,33.6,34.3,[.|..........|.*....],[###],-,-,-,-,-,-,-,-,-,-,-,[..###.....],-,-,-,-,TYRain_1910-1919_2A_pt1-141,-,-,-
GREAT-BRIGHTER,GREAT-BRIGHTER,LEFTOVER,England,Cornwall,1 sheet,SX 043761,"https://maps.nls.uk/geo/explore/#zoom=16&lat=50.552&lon=-4.764&layers=193&b=1&marker=50.552,-4.764",-4.764,50.552,,[1888/4/3],16,0,1,1959/09,1960/12,2,100.0,66.7,0.7,1959/09,8.93,1959/11,57.82,1960,57.82,1960,57.8,57.8,57.8,57.8,[.|..........|.....*],[4#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[........4#],TYRain_1951-1960_11_pt1-107,-,-,-
GREAT-CHESTERFORD-BORO-FARM,GREAT-CHESTERFORD-BORO-FARM,LEFTOVER,England,Essex,1 sheet : observer EH King,TL 496433,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.068&lon=0.181&layers=6&b=1&marker=52.068,0.181",0.181,52.068,,,24,0,2,1913/01,1914/12,2,100.0,100.0,0.56,1913/02,4.94,1914/12,16.23,1913,21.78,1914,19.0,16.8,19.0,21.2,[.|..........|.*....],[##],-,-,-,-,-,-,-,-,-,-,-,[...##.....],-,-,-,-,TYRain_1910-1919_09_pt1-176,-,-,-
GREAT-CHEVERELL,GREAT-CHEVERELL,LEFTOVER,England,Wiltshire,1 sheet,ST 980543,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.288&lon=-2.03&layers=6&b=1&marker=51.288,-2.03",-2.030,51.288,,,24,0,2,1884/01,1885/12,2,100.0,100.0,0.31,1885/07,5.04,1885/09,25.93,1884,28.81,1885,27.4,26.2,27.4,28.5,[.|........*.|......],[##],-,-,-,-,-,-,-,-,[....##....],-,-,-,-,-,-,-,TYRain_1880-1889_05_pt2-002,-,-,-
GREAT-CROSBY-ALEXANDRA-PARK,GREAT-CROSBY-ALEXANDRA-PARK,LEFTOVER,England,Lancashire,1 sheet : 34 bench. Full record ,SJ 315995,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.488&lon=-3.034&layers=6&b=1&marker=53.488,-3.034",-3.034,53.488,34,,64,0,5,1912/09,1917/12,6,100.0,88.9,0.58,1914/04,6.55,1917/08,28.09,1916,32.52,1917,29.5,28.1,28.6,31.5,[.|..........|.*....],[4#####],-,-,-,-,-,-,-,-,-,-,-,[..4#####..],-,-,-,-,TYRain_1910-1919_17_pt1-206,-,-,-
GREAT-CROSBY-CARNEGIE-LIBRARY,GREAT-CROSBY-CARNEGIE-LIBRARY,LEFTOVER,England,Lancashire,"1 sheet : S Wilson, 35' station 366 yds W",SJ 315994,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.487&lon=-3.034&layers=6&b=1&marker=53.487,-3.034",-3.034,53.487,35,[2470],27,0,2,1917/10,1919/12,3,100.0,75.0,0.93,1919/05,7.25,1918/09,31.11,1919,35.28,1918,33.2,31.5,33.2,34.9,[.|..........|.*....],[3##],-,-,-,-,-,-,-,-,-,-,-,[.......3##],-,-,-,-,TYRain_1910-1919_17_pt1-207,-,-,-
GREAT-CROSBY-FARNLEY,GREAT-CROSBY-FARNLEY,LEFTOVER,England,Lancashire,"2 sheets : Joseph Appleby 53' St Lukes W Derby 1/2 mile SW. house marked on 25"" OS/J Appleby 53' St Lukes 4 furlong SW. ends. Obs gone to NZ",SD 327004,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.496&lon=-3.016&layers=6&b=1&marker=53.496,-3.016",-3.016,53.496,53,,80,0,6,1919/01,1925/08,7,100.0,95.2,0.01,1925/06,6.3,1920/07,25.54,1921,37.47,1920,31.8,27.3,31.4,36.5,[.|..........|.**...],[######8],-,-,-,-,-,-,-,-,-,-,-,[.........#],[#####8.....],-,-,-,TYRain_1910-1919_17_pt1-208,TYRain_1920-1930_19_pt1-108,-,-
GREAT-DODDINGTON-VICARAGE,GREAT-DODDINGTON-VICARAGE,LEFTOVER,England,Northamptonshire,1 sheet,SP 881648,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.274&lon=-0.71&layers=10&b=1&marker=52.274,-0.71",-0.710,52.274,,,18,0,0,1934/04,1935/09,2,100.0,75.0,0.42,1935/03,3.84,1934/12,,,,,,,,,[.|..........|...*..],[99],-,-,-,-,-,-,-,-,-,-,-,-,-,[...99.....],-,-,TYRain_1931-1940_07_pt1-322,-,-,-
GREAT-GIDDING-RECTORY,GREAT-GIDDING-RECTORY,LEFTOVER,England,Huntingdonshire,1 sheet : observer Plevins,TL 115830,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.434&lon=-0.361&layers=6&b=1&marker=52.434,-0.361",-0.361,52.434,169,,48,0,4,1910/01,1913/12,4,100.0,100.0,0.12,1911/07,5.02,1912/08,17.18,1911,30.15,1912,22.4,17.5,21.2,28.4,[.|..........|.*....],[####],-,-,-,-,-,-,-,-,-,-,-,[####......],-,-,-,-,TYRain_1910-1919_08_pt1-139,-,-,-
GREAT-HASELEY-SCHOOL,GREAT-HASELEY-SCHOOL,LEFTOVER,England,Oxfordshire,"1 sheet : ""This-record...copy-of-Gt-Haseley-Manor""",SP 640019,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.712&lon=-1.075&layers=6&b=1&marker=51.712,-1.075",-1.075,51.712,,,36,0,3,1911/01,1914/12,3,75.0,100.0,0.0,1912/04,7.74,1914/12,22.03,1911,30.74,1912,26.8,23.2,27.7,30.1,[.|..........|.*....],[##.#],-,-,-,-,-,-,-,-,-,-,-,[.##.#.....],-,-,-,-,TYRain_1910-1919_07_pt1-265,-,-,-
GREAT-HORWOOD,GREAT-HORWOOD,LEFTOVER,England,Buckinghamshire,2 sheets,SP 774312,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.974&lon=-0.875&layers=6&b=1&marker=51.974,-0.875",-0.875,51.974,,,50,0,4,1919/11,1923/12,5,100.0,83.3,0.23,1921/07,4.92,1922/07,15.44,1921,28.76,1922,24.5,18.4,27.0,28.7,[.|..........|.**...],[2####],-,-,-,-,-,-,-,-,-,-,-,[.........2],[####.......],-,-,-,TYRain_1910-1919_07_pt1-127,TYRain_1920-1930_07_pt1-119,-,-
GREAT-LANGDALE-COPY-HOWE,GREAT-LANGDALE-COPY-HOWE,LEFTOVER,England,Westmorland,1 sheet,NY 315058,"https://maps.nls.uk/geo/explore/#zoom=16&lat=54.443&lon=-3.058&layers=193&b=1&marker=54.443,-3.058",-3.058,54.443,371,[3705/5],24,0,2,1959/01,1960/12,2,100.0,100.0,1.37,1959/08,21.0,1959/12,92.87,1959,112.39,1960,102.6,94.8,102.6,110.4,[.|..........|.....*],[##],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[........##],TYRain_1951-1960_21_pt1-130,-,-,-
GREAT-LEIGHS-HOLE-FARM,GREAT-LEIGHS-HOLE-FARM,LEFTOVER,England,Essex,1 sheet : observer Miss JAJ Barclay,TL 732156,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.812&lon=0.511&layers=6&b=1&marker=51.812,0.511",0.511,51.812,,,24,0,2,1903/01,1904/12,2,100.0,100.0,0.6,1904/06,4.95,1903/06,19.68,1904,30.82,1903,25.2,20.8,25.2,29.7,[.|..........|*.....],[##],-,-,-,-,-,-,-,-,-,-,[...##.....],-,-,-,-,-,TYRain_1900-1909_09_pt1-047,-,-,-
GREAT-MALVERN,GREAT-MALVERN,LEFTOVER,England,Worcestershire,1 sheet : WJ Burrows 522',-,,,,522,,36,0,3,1867/01,1869/12,3,100.0,100.0,0.36,1868/06,6.09,1868/12,28.67,1867,34.09,1869,31.2,29.1,30.8,33.4,[.|......*...|......],[###],-,-,-,-,-,-,[.......###],-,-,-,-,-,-,-,-,-,TYRain_1860-1869_03_pt3-060,-,-,-
GREAT-MALVERN-ALEXANDRA-ROAD,GREAT-MALVERN-ALEXANDRA-ROAD,LEFTOVER,England,Worcestershire,"1 sheet : NGR half way along Alexandra Road; Malvern st 1/2mi E, ch 1/2mi S",SO 776473,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.124&lon=-2.329&layers=10&b=1&marker=52.124,-2.329",-2.329,52.124,360,[2383/5],72,0,6,1934/01,1939/12,6,100.0,100.0,0.1,1938/04,5.75,1935/11,24.41,1938,31.98,1936,28.6,24.6,29.5,31.6,[.|..........|...*..],[######],-,-,-,-,-,-,-,-,-,-,-,-,-,[...######.],-,-,TYRain_1931-1940_14_pt1-123,-,-,-
GREAT-MALVERN-AVENUE-ROAD,GREAT-MALVERN-AVENUE-ROAD,LEFTOVER,England,Worcestershire,1 sheet : GtM ch 1/4mi NW; GtM st 1/4mi SE,-,,,,335,[2382/5],6,0,0,1933/07,1933/12,1,100.0,50.0,0.22,1933/08,4.15,1933/10,,,,,,,,,[.|..........|...*..],[6],-,-,-,-,-,-,-,-,-,-,-,-,-,[..6.......],-,-,TYRain_1931-1940_14_pt1-121,-,-,-
GREAT-MALVERN-HAYS-BANK,GREAT-MALVERN-HAYS-BANK,LEFTOVER,England,Worcestershire,1 sheet : Capt Archdale 190' record ends no other info,-,,,,190,,21,1,2,1920/01,1921/12,2,87.5,87.5,0.22,1921/02,4.84,1920/04,16.7,1921,29.13,1920,22.9,17.9,22.9,27.9,[.|..........|..*...],[#9],-,-,-,-,-,-,-,-,-,-,-,-,[#9.........],-,-,-,TYRain_1920-1930_15_pt1-139,-,-,-
GREAT-MALVERN-LEIGH-SINTON,GREAT-MALVERN-LEIGH-SINTON,LEFTOVER,England,Worcestershire,"1 sheet : Rev C Robinson, 202 bench. Leigh ch 2miles NE full record. Gauge moves to Leigh Lodge 1894",-,,,,202,,13,0,1,1892/12,1893/12,2,100.0,54.2,0.2,1893/03,3.52,1893/12,20.14,1893,20.14,1893,20.1,20.1,20.1,20.1,[.|.........*|......],[1#],-,-,-,-,-,-,-,-,-,[..1#......],-,-,-,-,-,-,TYRain_1890-1899_12_pt1-176,-,-,-
GREAT-MALVERN-MADRESFIELD-ROAD,GREAT-MALVERN-MADRESFIELD-ROAD,LEFTOVER,England,Worcestershire,1 sheet : no data but gauge in excellent position in modern housing estate!,-,,,,,,0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1920-1930_15_pt1-138,-,-,-
GREAT-MALVERN-MALVERNBURY,GREAT-MALVERN-MALVERNBURY,LEFTOVER,England,Worcestershire,"2 sheets : RB Johnson 389' Priory ch 1/4mile NE/61 Abbey Road, Malvern - planning applicn",SO 7745,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.1&lon=-2.34&layers=6&b=1&marker=52.1,-2.34",-2.340,52.100,389,,30,0,2,1888/07,1890/12,3,100.0,83.3,0.35,1889/06,7.22,1888/11,19.32,1890,25.48,1889,22.4,19.9,22.4,24.9,[.|........**|......],[6##],-,-,-,-,-,-,-,-,[........6#],[#.........],-,-,-,-,-,-,TYRain_1880-1889_07_pt3-007,TYRain_1890-1899_12_pt1-173,-,-
GREAT-MALVERN-THE-WYCH,GREAT-MALVERN-THE-WYCH,LEFTOVER,England,Worcestershire,1 sheet : 658' W Sandoe; Wyche is an area to the south of Great Malvern,-,,,,658,,24,0,2,1872/01,1873/12,2,100.0,100.0,0.5,1873/02,4.06,1872/06,21.03,1873,33.84,1872,27.4,22.3,27.4,32.6,[.|.......*..|......],[##],-,-,-,-,-,-,-,[..##......],-,-,-,-,-,-,-,-,TYRain_1870-1879_06_pt2-003,-,-,-
GREAT-MALVERN-WELLS-ROAD,GREAT-MALVERN-WELLS-ROAD,LEFTOVER,England,Worcestershire,"1 sheet : W Sandoe, 650' TrinityChurch St marys 3/4mile S 1871 address Local Board Office, Great Malvern; Town Surveyor",-,,,,650,,72,0,6,1874/01,1879/12,6,100.0,100.0,0.61,1876/05,7.23,1876/12,27.63,1874,35.67,1875,32.5,28.6,34.0,34.9,[.|.......*..|......],[######],-,-,-,-,-,-,-,[....######],-,-,-,-,-,-,-,-,TYRain_1870-1879_06_pt2-006,-,-,-
GREAT-MALVERN-WORCESTER-ROAD,GREAT-MALVERN-WORCESTER-ROAD,LEFTOVER,England,Worcestershire,1 sheet : Malvern Links st 1/4mi E; Holy Trinity Upper Louk 1/2mi SW,-,,,,280,[2386/5],36,0,3,1937/01,1939/12,3,100.0,100.0,0.1,1938/04,6.21,1939/01,26.04,1938,30.11,1939,28.6,26.8,29.8,30.0,[.|..........|...*..],[###],-,-,-,-,-,-,-,-,-,-,-,-,-,[......###.],-,-,TYRain_1931-1940_14_pt1-127,-,-,-
GREAT-ORMESBY-GREY-HOUSE,GREAT-ORMESBY-GREY-HOUSE,LEFTOVER,England,Norfolk,1 sheet : observer Nightingale,TG 498144,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.67&lon=1.693&layers=193&b=1&marker=52.67,1.693",1.693,52.670,18,[1428/8],26,0,2,1952/11,1954/12,3,100.0,72.2,0.55,1954/04,6.96,1954/08,20.83,1953,32.88,1954,26.9,22.0,26.9,31.7,[.|..........|.....*],[2##],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[.2##......],TYRain_1951-1960_08_pt1-225,-,-,-
GREAT-SANDERS-DEPOT,GREAT-SANDERS-DEPOT,LEFTOVER,England,Sussex,1 sheet,TQ 783208,"https://maps.nls.uk/geo/explore/#zoom=16&lat=50.959&lon=0.538&layers=6&b=1&marker=50.959,0.538",0.538,50.959,,[557/2],0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1951-1960_03_pt1-171,-,-,-
GREAT-STANMORE/1,GREAT-STANMORE,LEFTOVER,England,Middlesex,"1 sheet : NGR is based on the relationship to the Church and is about the correct altitude. Two gauges at different altitudes, which were transposed on 1884, which means gauges are in different locations possibly up to 500 yards apart",TQ 161932,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.626&lon=-0.324&layers=6&b=1&marker=51.626,-0.324",-0.324,51.626,450,,36,0,2,1882/10,1885/09,4,100.0,75.0,0.31,1885/07,6.11,1882/10,22.3,1884,25.95,1883,24.1,22.7,24.1,25.6,[.|........*.|......],[3##9],-,-,-,-,-,-,-,-,[..3##9....],-,-,-,-,-,-,-,TYRain_1880-1889_01_pt2-031,-,-,-
GREAT-STANMORE/2,GREAT-STANMORE,LEFTOVER,England,Middlesex,"1 sheet : NGR is based on the relationship to the Church and is about the correct altitude. Two gauges at different altitudes, which were transposed on 1884, which means gauges are in different locations possibly up to 500 yards apart",TQ 161932,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.626&lon=-0.324&layers=6&b=1&marker=51.626,-0.324",-0.324,51.626,480,,26,1,1,1883/05,1885/08,3,92.9,72.2,0.31,1885/07,3.24,1883/11,21.43,1884,21.43,1884,21.4,21.4,21.4,21.4,[.|........*.|......],[6#8],-,-,-,-,-,-,-,-,[...6#8....],-,-,-,-,-,-,-,TYRain_1880-1889_01_pt2-032,-,-,-
GREAT-TEW,GREAT-TEW,LEFTOVER,England,Oxfordshire,1 sheet,SP 398288,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.956&lon=-1.422&layers=6&b=1&marker=51.956,-1.422",-1.422,51.956,,,12,0,1,1916/01,1916/12,1,100.0,100.0,1.15,1916/09,4.59,1916/03,35.53,1916,35.53,1916,35.5,35.5,35.5,35.5,[.|..........|.*....],[#],-,-,-,-,-,-,-,-,-,-,-,[......#...],-,-,-,-,TYRain_1910-1919_07_pt1-210,-,-,-
GREAT-WALDINGFIELD-RECTORY-FLAT,GREAT-WALDINGFIELD-RECTORY-FLAT,LEFTOVER,England,Suffolk,1 sheet,TL 912437,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.059&lon=0.788&layers=193&b=1&marker=52.059,0.788",0.788,52.059,,[1337/8],19,0,1,1952/01,1953/07,2,100.0,79.2,0.41,1953/03,4.18,1952/11,23.05,1952,23.05,1952,23.1,23.1,23.1,23.1,[.|..........|.....*],[#7],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[.#7.......],TYRain_1951-1960_08_pt1-098,-,-,-
GREAT-YARMOUTH-RNAS,GREAT-YARMOUTH-RNAS,LEFTOVER,England,Norfolk,1 sheet : Estimated NGR,TG 530091,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.621&lon=1.736&layers=6&b=1&marker=52.621,1.736",1.736,52.621,,,24,0,2,1917/01,1918/12,2,100.0,100.0,0.5,1917/05,4.18,1918/07,24.1,1917,24.26,1918,24.2,24.1,24.2,24.2,[.|..........|.*....],[##],-,-,-,-,-,-,-,-,-,-,-,[.......##.],-,-,-,-,TYRain_1910-1919_10_pt1-043,-,-,-
GREAT-YELDHAM-CRAIGS,GREAT-YELDHAM-CRAIGS,LEFTOVER,England,Essex,1 sheet : observer VG Walker Cooke,TL 715378,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.012&lon=0.498&layers=10&b=1&marker=52.012,0.498",0.498,52.012,,,48,0,4,1944/01,1947/12,4,100.0,100.0,0.09,1947/10,4.59,1944/09,21.22,1945,26.0,1946,23.2,21.3,22.9,25.4,[.|..........|....*.],[####],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[...####...],-,TYRain_1941-1950_10_pt1-163,-,-,-
GREENFIELD,GREENFIELD,LEFTOVER,England,Yorkshire West Riding,"1 sheet : Cannot find Lords Moor, there is a Lords Moor Lane NE of York but not West Riding. No altitude on record",-,,,,,,24,0,2,1870/01,1871/12,2,100.0,100.0,1.3,1870/07,11.4,1870/10,40.6,1870,49.45,1871,45.0,41.5,45.0,48.6,[.|.......*..|......],[##],-,-,-,-,-,-,-,[##........],-,-,-,-,-,-,-,-,TYRain_1870-1879_08_pt1-055,-,-,-
GREENFIELD-ASHWAY-HEY,GREENFIELD-ASHWAY-HEY,LEFTOVER,England,Yorkshire West Riding,1 sheet : NGR is on Ashway Hey. No stated altitude or other information to locate gauge. Altitude from OS map but could be +/- 250 ft and NGR could be +/- 250 m or more,SE 024048,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.54&lon=-1.965&layers=6&b=1&marker=53.54,-1.965",-1.965,53.540,950,,24,0,2,1870/01,1871/12,2,100.0,100.0,1.2,1870/07,11.5,1870/10,42.0,1870,45.57,1871,43.8,42.4,43.8,45.2,[.|.......*..|......],[##],-,-,-,-,-,-,-,[##........],-,-,-,-,-,-,-,-,TYRain_1870-1879_08_pt1-054,-,-,-
GREENFIELD-BILL-O-JACKS,GREENFIELD-BILL-O-JACKS,LEFTOVER,England,Yorkshire West Riding,1 sheet : NGR is Bill O Jacks (Moor Croft Inn). Altitude is from OS map,SE 019053,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.544&lon=-1.973&layers=6&b=1&marker=53.544,-1.973",-1.973,53.544,1100,,5,0,0,1869/08,1869/12,1,100.0,41.7,3.25,1869/08,7.0,1869/09,,,,,,,,,[.|......*...|......],[5],-,-,-,-,-,-,[.........5],-,-,-,-,-,-,-,-,-,TYRain_1860-1869_05_pt1-036,-,-,-
GREENFIELD-CHARNEL-ROCKS,GREENFIELD-CHARNEL-ROCKS,LEFTOVER,England,Yorkshire West Riding,"2 sheets : NGR is Charnel Holes, which are assumed to be the Rocks. Altitude is from OS ma at top of rocks could be 200 ft. or more lower",SE 027027,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.521&lon=-1.961&layers=6&b=1&marker=53.521,-1.961",-1.961,53.521,1500,,29,0,2,1869/08,1871/12,3,100.0,80.6,2.0,1871/01,13.3,1870/10,46.54,1871,48.3,1870,47.4,46.7,47.4,48.1,[.|......**..|......],[5##],-,-,-,-,-,-,[.........5],[##........],-,-,-,-,-,-,-,-,TYRain_1860-1869_05_pt1-039,TYRain_1870-1879_08_pt1-053,-,-
GREENFIELD-SADDLEWORTH,GREENFIELD-SADDLEWORTH,LEFTOVER,England,Yorkshire West Riding,1 sheet : NGR is top of Holme Clough as noted on the record. Altitude is from OS map,SE 064052,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.543&lon=-1.905&layers=6&b=1&marker=53.543,-1.905",-1.905,53.543,1600,,5,0,0,1869/08,1869/12,1,100.0,41.7,4.25,1869/08,8.25,1869/09,,,,,,,,,[.|......*...|......],[5],-,-,-,-,-,-,[.........5],-,-,-,-,-,-,-,-,-,TYRain_1860-1869_05_pt1-037,-,-,-
GREENFORD-GREENFORD-GARDENS,GREENFORD-GREENFORD-GARDENS,LEFTOVER,England,Middlesex,1 sheet,-,,,,,,28,0,2,1941/01,1943/04,3,100.0,77.8,0.41,1942/06,5.1,1941/08,22.9,1942,27.84,1941,25.4,23.4,25.4,27.3,[.|..........|....*.],[##4],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[##4.......],-,TYRain_1941-1950_07_pt1-031,-,-,-
GREENFORD-S-WKS,GREENFORD-S-WKS,LEFTOVER,England,Middlesex,1 sheet,-,,,,,,0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1931-1940_06_pt1-139,-,-,-
GREENHITHE,GREENHITHE,LEFTOVER,England,Kent,1 sheet,TQ 590749,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.451&lon=0.287&layers=6&b=1&marker=51.451,0.287",0.287,51.451,,,12,0,1,1906/01,1906/12,1,100.0,100.0,0.53,1906/04,3.27,1906/10,19.32,1906,19.32,1906,19.3,19.3,19.3,19.3,[.|..........|*.....],[#],-,-,-,-,-,-,-,-,-,-,[......#...],-,-,-,-,-,TYRain_1900-1909_03_pt1-036,-,-,-
GREENHITHE-HMS-WORCESTER,GREENHITHE-HMS-WORCESTER,LEFTOVER,England,Kent,1 sheet,TQ 588753,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.454&lon=0.284&layers=6&b=1&marker=51.454,0.284",0.284,51.454,,,48,0,4,1903/01,1906/12,4,100.0,100.0,0.27,1906/04,5.23,1903/07,12.58,1904,25.75,1903,17.0,13.1,14.9,22.7,[.|..........|*.....],[####],-,-,-,-,-,-,-,-,-,-,[...####...],-,-,-,-,-,TYRain_1900-1909_03_pt1-037,-,-,-
GREENOCK-MACALISTER,GREENOCK-MACALISTER,LEFTOVER,Scotland,Renfrewshire,1 sheet : Unable to trace,-,,,,,,12,0,1,1923/01,1923/12,1,100.0,100.0,1.87,1923/06,11.3,1923/09,72.64,1923,72.64,1923,72.6,72.6,72.6,72.6,[.|..........|..*...],[#],-,-,-,-,-,-,-,-,-,-,-,-,[...#.......],-,-,-,TYRain_1920-1930_31_pt1-045,-,-,-
GREENWICH-BLACKHEATH-INGLESIDE-GROVE,GREENWICH-BLACKHEATH-INGLESIDE-GROVE,LEFTOVER,England,London County,1 sheet : observer Graham C Lawson,TQ 399776,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.48&lon=0.013&layers=6&b=1&marker=51.48,0.013",0.013,51.480,150,,12,0,1,1903/01,1903/12,1,100.0,100.0,1.1,1903/02,5.76,1903/06,33.03,1903,33.03,1903,33.0,33.0,33.0,33.0,[.|..........|*.....],[#],-,-,-,-,-,-,-,-,-,-,[...#......],-,-,-,-,-,TYRain_1900-1909_01_pt1-042,-,-,-
GRENDON-THE-VICARAGE,GRENDON-THE-VICARAGE,LEFTOVER,England,Northamptonshire,1 sheet,SP 876601,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.232&lon=-0.719&layers=10&b=1&marker=52.232,-0.719",-0.719,52.232,,,48,0,4,1943/01,1946/12,4,100.0,100.0,0.25,1944/03,5.03,1946/11,18.74,1943,27.73,1946,22.7,19.3,22.2,26.5,[.|..........|....*.],[####],-,-,-,-,-,-,-,-,-,-,-,-,-,-,[..####....],-,TYRain_1941-1950_08_pt1-180,-,-,-
GRIFFITHSTOWN-SHIRLEY,GRIFFITHSTOWN-SHIRLEY,LEFTOVER,Wales,Monmouthshire,1 sheet,-,,,,,,49,0,4,1912/12,1916/12,5,100.0,81.7,0.22,1913/07,13.51,1915/12,53.69,1916,61.32,1914,57.7,54.0,57.9,61.3,[.|..........|.*....],[1####],-,-,-,-,-,-,-,-,-,-,-,[..1####...],-,-,-,-,TYRain_1910-1919_22_pt1-041,-,-,-
